"Abóbora, menina brasileira, crua","13.61","56.93","0.61","3.3","0","0","1.17"
"Abóbora, moranga, crua","12.36","51.73","0.96","2.67","0.06","0","1.7"
"Abóbora, moranga, refogada","29","121.35","0.39","5.98","0.8","0","1.55"
"Abóbora, pescoço, crua","24.47","102.37","0.67","6.12","0.12","0","2.3"
"Abobrinha, italiana, cozida","15.04","62.92","1.13","2.98","0.2","0","1.59"
"Abobrinha, italiana, crua","19.28","80.66","1.14","4.29","0.14","0","1.35"
"Abobrinha, italiana, refogada","24.43","102.21","1.07","4.19","0.82","0","1.38"
"Abobrinha, paulista, crua","30.81","128.91","0.64","7.87","0.14","0","2.61"
"Acelga, crua","20.94","87.62","1.44","4.63","0.11","0","1.12"
"Agrião, cru","16.58","69.37","2.69","2.25","0.24","0","2.14"
"Aipo, cru","19.09","79.88","0.76","4.27","0.07","0","0.96"
"Alface, americana, crua","8.79","36.8","0.61","1.75","0.13","0","1.02"
"Alface, crespa, crua","10.68","44.69","1.35","1.7","0.16","0","1.83"
"Alface, lisa, crua","13.82","57.83","1.69","2.43","0.12","0","2.33"
"Alface, roxa, crua","12.72","53.21","0.91","2.49","0.19","0","2.01"
"Alfavaca, crua","29.18","122.1","2.66","5.24","0.48","0","4.14"
"Alho, cru","113.13","473.34","7.01","23.91","0.22","0","4.32"
"Alho-poró, cru","31.51","131.83","1.41","6.88","0.14","0","2.51"
"Almeirão, cru","18.03","75.46","1.77","3.34","0.22","0","2.59"
"Almeirão, refogado","65.08","272.3","1.7","5.7","4.85","0","3.43"
"Batata, baroa, cozida","80.12","335.22","0.85","18.95","0.17","0","1.76"
"Batata, baroa, crua","100.98","422.52","1.05","23.98","0.17","0","2.06"
"Batata, doce, cozida","76.76","321.16","0.64","18.42","0.09","0","2.21"
"Batata, doce, crua","118.24","494.72","1.26","28.2","0.13","0","2.57"
"Batata, frita, tipo chips, industrializada","542.73","2270.8","5.58","51.22","36.62","0","2.46"
"Batata, inglesa, cozida","51.59","215.85","1.16","11.94","0","0","1.34"
"Batata, inglesa, crua","64.37","269.33","1.77","14.69","0","0","1.16"
"Batata, inglesa, frita","267.16","1117.79","4.97","35.64","13.11","0","8.06"
"Batata, inglesa, sauté","67.89","284.04","1.29","14.09","0.9","0","1.38"
"Berinjela, cozida","18.85","78.85","0.68","4.47","0.15","0","2.52"
"Berinjela, crua","19.63","82.12","1.22","4.43","0.1","0","2.87"
"Beterraba, cozida","32.15","134.53","1.29","7.23","0.09","0","1.88"
"Beterraba, crua","48.83","204.3","1.95","11.11","0.09","0","3.37"
